Date,Country,Returns6M,BondYield,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
1997-12-31,australia,0.012290411029959536,6.038,-1.2809999999999997,-0.1750239103702691,-0.13908794788273612,2.0,4.0,4.0
1997-12-31,austria,0.23855827899817927,5.418,-0.4089999999999998,-0.07019049253475196,-0.062252663622526606,14.0,14.0,12.0
1997-12-31,belgium,0.433112623976055,5.441,-0.43400000000000016,-0.07387234042553192,-0.06410635155096014,11.0,11.0,11.0
1997-12-31,canada,0.09130007303554888,5.615,-0.7949999999999999,-0.12402496099843996,-0.09814814814814814,8.0,9.0,9.0
1997-12-31,france,0.3869947075993907,5.337,-0.4090000000000007,-0.07117995127044907,-0.05360419397116654,13.0,12.0,14.0
1997-12-31,germany,0.36487887947057285,5.368,-0.4109999999999996,-0.0711195708600103,-0.0580344535441965,12.0,13.0,13.0
1997-12-31,hong kong,-0.2614904792548173,,,,,,,
1997-12-31,ireland,0.272049163172003,5.556,-1.13,-0.16900987137301826,-0.1281905842314237,5.0,5.0,6.0
1997-12-31,italy,0.3317214214202604,5.645,-1.8960000000000008,-0.2514255403792601,-0.17699775952203145,1.0,2.0,1.0
1997-12-31,japan,-0.02608870223625326,1.94,-0.8250000000000002,-0.29837251356238703,-0.17556927005745906,7.0,1.0,2.0
1997-12-31,malaysia,-0.29998806705061465,,,,,,,
1997-12-31,netherlands,0.2282294656211774,5.308,-0.36600000000000055,-0.06450475854776183,-0.0518230088495576,15.0,15.0,15.0
1997-12-31,new zealand,-0.21182259656001912,7.035,-0.16500000000000004,-0.022916666666666696,-0.01959619952494062,16.0,16.0,16.0
1997-12-31,peru,-0.11044938877498967,,,,,,,
1997-12-31,portugal,0.29496893704525373,,,,,,,
1997-12-31,singapore,-0.3098258084953813,,,,,,,
1997-12-31,spain,0.4389539515615042,5.592,-1.2170000000000005,-0.17873402849170228,-0.12543805400948263,4.0,3.0,7.0
