Date,Country,Development,BondYield,CBPR,TotalPrices,Prices,Earnings,PE,BondYield_T_Difference,BondYield_T_PercentChange,BondYield_T_PercentChangeMedian,BondYield_T_PercentChangeStd,CBPR_T_Difference,CBPR_T_PercentChange,CBPR_T_PercentChangeMedian,CBPR_T_PercentChangeStd,Returns6M_Concurrent,Returns6M_Subsequent,,
6/30/1989,australia,1,13.5,,,,,,,,,,,,,,,,,
12/31/1989,australia,1,12.9,,,,,,-0.6,-0.044444444,-0.045454545,-0.219459696,,,,,,,,
6/30/1990,australia,1,13.45,15.5,,,,,0.55,0.042635659,0.040892193,0.201171388,,,,,,,,
12/31/1990,australia,1,12.05,12,,,,,-1.4,-0.104089219,-0.10626186,-0.512072625,-3.5,-0.225806452,-0.254545455,-1.408241226,,,,
6/30/1991,australia,1,11.155,10.5,,,,,-0.895,-0.074273859,-0.069379845,-0.327360714,-1.5,-0.125,-0.125,-0.603531954,,,,
12/31/1991,australia,1,9.388,8.5,,,,,-1.767,-0.158404303,-0.141643287,-0.646308806,-2,-0.19047619,-0.177777778,-0.804709272,,,,
6/30/1992,australia,1,8.9,6.5,,,,,-0.488,-0.051981253,-0.040497925,-0.178493886,-2,-0.235294118,-0.19047619,-0.804709272,,,,
12/31/1992,australia,1,8.925,5.75,,,,,0.025,0.002808989,0.002154708,0.009144154,-0.75,-0.115384615,-0.078947368,-0.301765977,,,,
6/30/1993,australia,1,7.39,5.25,,,,,-1.535,-0.171988796,-0.137606455,-0.561451057,-0.5,-0.086956522,-0.058823529,-0.201177318,,,,
12/31/1993,australia,1,6.675,4.75,,,,,-0.715,-0.096752368,-0.069610086,-0.261522805,-0.5,-0.095238095,-0.066666667,-0.201177318,,,,
6/30/1994,australia,1,9.635,4.75,,,,,2.96,0.443445693,0.307213285,1.082667836,0,0,0,0,,,,
12/31/1994,australia,1,10.04,7.5,,,,,0.405,0.04203425,0.041168996,0.148135295,2.75,0.578947368,0.392857143,1.106475249,,,,
6/30/1995,australia,1,9.21,7.5,,433.57,26.46,16.38586546,-0.83,-0.082669323,-0.086144266,-0.303585913,0,0,0,0,,,,
12/31/1995,australia,1,8.22,7.5,,458.07,27.61,16.590728,-0.99,-0.107491857,-0.104084529,-0.362108499,0,0,0,0,,,,
6/30/1996,australia,1,8.79,7.5,,454.85,25.49,17.84425265,0.57,0.069343066,0.060715807,0.208486712,0,0,0,0,,,,
12/31/1996,australia,1,7.319,6,,486.56,27.69,17.57168653,-1.471,-0.167349261,-0.158189053,-0.538042023,-1.5,-0.2,-0.2,-0.603531954,,,,
6/30/1997,australia,1,7.055,5.5,,541.29,22.89,23.6474443,-0.264,-0.036070501,-0.028664495,-0.096562266,-0.5,-0.083333333,-0.066666667,-0.201177318,,,,
12/31/1997,australia,1,6.038,5,694.037,518.65,23.79,21.80117697,-1.017,-0.144153083,-0.112158809,-0.371984186,-0.5,-0.090909091,-0.071428571,-0.201177318,,0.012290411,,
6/30/1998,australia,1,5.545,5,702.567,546.33,20.78,26.29114533,-0.493,-0.081649553,-0.055238095,-0.180322717,0,0,0,0,0.012290411,0.047821774,,
12/31/1998,australia,1,5.015,4.75,736.165,571.86,20.56,27.81420233,-0.53,-0.095581605,-0.059467041,-0.193856065,-0.25,-0.05,-0.04,-0.100588659,0.047821774,0.143501796,,
6/30/1999,australia,1,6.27,4.75,841.806,599.81,20.58,29.14528669,1.255,0.250249252,0.141011236,0.459036532,0,0,0,0,0.143501796,0.028552897,,
12/31/1999,australia,1,6.98,5,865.842,617.44,24.78,24.91686844,0.71,0.11323764,0.08027134,0.259693974,0.25,0.052631579,0.042553191,0.100588659,0.028552897,0.002184001,,
6/30/2000,australia,1,6.183,6,867.733,666.55,33.73,19.76134005,-0.797,-0.114183381,-0.090671217,-0.29151563,1,0.2,0.166666667,0.402354636,0.002184001,-0.101493201,,
12/31/2000,australia,1,5.48,6.25,779.664,640.24,34.11,18.76986221,-0.703,-0.113698852,-0.08265726,-0.257133611,0.25,0.041666667,0.041666667,0.100588659,-0.101493201,0.029293388,,
6/30/2001,australia,1,6.06,5,802.503,712.98,42.59,16.74054942,0.58,0.105839416,0.070559611,0.212144373,-1.25,-0.2,-0.208333333,-0.502943295,0.029293388,-0.012170671,,
12/31/2001,australia,1,6.02,4.25,792.736,690.91,29.31,23.57250085,-0.04,-0.00660066,-0.00512492,-0.014630646,-0.75,-0.15,-0.127659574,-0.301765977,-0.012170671,0.039808965,,
6/30/2002,australia,1,6.075,4.75,824.294,647.66,29.03,22.31002411,0.055,0.009136213,0.00744249,0.020117139,0.5,0.117647059,0.086956522,0.201177318,0.039808965,-0.051134668,,
12/31/2002,australia,1,5.17,4.75,782.144,604.46,-20.61,-29.32848132,-0.905,-0.148971193,-0.123053913,-0.331018376,0,0,0,0,-0.051134668,0.203604607,,
