Date,Country,Development,BondYield,CBPR,TotalPrices,Prices,Earnings,PE,Returns6M_Concurrent,BondYield_T_Difference,BondYield_T_PercentChange,BondYield_T_PercentChangeMedian,Returns6M_Subsequent,CBPR_T_Difference,CBPR_T_PercentChange,CBPR_T_PercentChangeMedian
1989-06-30,australia,DM,13.5,,,,,,,,,,,,,
1989-12-31,australia,DM,12.9,,,,,,,,,,,,,
1990-06-30,australia,DM,13.45,,,,,,,-0.05,-0.003703704,-0.003717472,,,,
1990-12-31,australia,DM,12.05,12,,,,,,-0.85,-0.065891473,-0.064516129,,,,
1991-06-30,australia,DM,11.155,,,,,,,-2.295,-0.17063197,-0.177906977,,,,
1991-12-31,australia,DM,9.388,8.5,,,,,,-2.662,-0.220912863,-0.213386774,,-3.5,-0.291666667,-0.341463415
1992-06-30,australia,DM,8.9,6.5,,,,,,-2.255,-0.202151502,-0.187136929,,,,
1992-12-31,australia,DM,8.925,5.75,,,,,,-0.463,-0.049318279,-0.039905193,,-2.75,-0.323529412,-0.366666667
1993-06-30,australia,DM,7.39,5.25,,,,,,-1.51,-0.169662921,-0.135365307,,-1.25,-0.192307692,-0.192307692
1993-12-31,australia,DM,6.675,4.75,,,,,,-2.25,-0.25210084,-0.219052719,,-1,-0.173913043,-0.163265306
1994-06-30,australia,DM,9.635,4.75,,,,,,2.245,0.303788904,0.23300467,,-0.5,-0.095238095,-0.086956522
1994-12-31,australia,DM,10.04,,,,,,,3.365,0.50411985,0.34205845,,,,
1995-06-30,australia,DM,9.21,7.5,,433.57,26.46,16.38586546,,-0.425,-0.044110016,-0.044110016,,2.75,0.578947368,0.448979592
1995-12-31,australia,DM,8.22,,,458.07,27.61,16.590728,,-1.82,-0.1812749,-0.191347316,,,,
1996-06-30,australia,DM,8.79,,,454.85,25.49,17.84425265,,-0.42,-0.045602606,-0.044737963,,,,
1996-12-31,australia,DM,7.319,6,,486.56,27.69,17.57168653,,-0.901,-0.109610706,-0.096892139,,,,
1997-06-30,australia,DM,7.055,5.5,,541.29,22.89,23.6474443,,-1.735,-0.19738339,-0.188382193,,,,
1997-12-31,australia,DM,6.038,5,694.037,518.65,23.79,21.80117697,,-1.281,-0.17502391,-0.14127378,0.012290411,-1,-0.166666667,-0.173913043
1998-06-30,australia,DM,5.545,5,702.567,546.33,20.78,26.29114533,0.012290411,-1.51,-0.214032601,-0.169187675,0.047821774,-0.5,-0.090909091,-0.088888889
1998-12-31,australia,DM,5.015,4.75,736.165,571.86,20.56,27.81420233,0.047821774,-1.023,-0.169426963,-0.114782609,0.143501796,-0.25,-0.05,-0.045454545
1999-06-30,australia,DM,6.27,4.75,841.806,599.81,20.58,29.14528669,0.143501796,0.725,0.130748422,0.081460674,0.028552897,-0.25,-0.05,-0.046511628
1999-12-31,australia,DM,6.98,5,865.842,617.44,24.78,24.91686844,0.028552897,1.965,0.391824526,0.222159412,0.002184001,0.25,0.052631579,0.047619048
2000-06-30,australia,DM,6.183,6,867.733,666.55,33.73,19.76134005,0.002184001,-0.087,-0.013875598,-0.009897611,-0.101493201,1.25,0.263157895,0.23255814
2000-12-31,australia,DM,5.48,,779.664,640.24,34.11,18.76986221,-0.101493201,-1.5,-0.214899713,-0.176366843,0.029293388,,,
2001-06-30,australia,DM,6.06,,802.503,712.98,42.59,16.74054942,0.029293388,-0.123,-0.019893256,-0.014963504,-0.012170671,,,
2001-12-31,australia,DM,6.02,4.25,792.736,690.91,29.31,23.57250085,-0.012170671,0.54,0.098540146,0.069186419,0.039808965,,,
2002-06-30,australia,DM,6.075,,824.294,647.66,29.03,22.31002411,0.039808965,0.015,0.002475248,0.00202977,-0.051134668,,,
2002-12-31,australia,DM,5.17,4.75,782.144,604.46,-20.61,-29.32848132,-0.051134668,-0.85,-0.141196013,-0.115575498,0.203604607,0.5,0.117647059,0.097560976
2003-06-30,australia,DM,5.018,4.75,941.392122,601.7,28.64,21.00907821,0.203604607,-1.057,-0.17399177,-0.144418636,0.24177888,,,
2003-12-31,australia,DM,5.607,5.25,1169.000855,655.61,31.09,21.08748794,0.24177888,0.437,0.084526112,0.06080423,0.000851886,0.5,0.105263158,0.097560976
2004-06-30,australia,DM,5.947,5.25,1169.996711,700.74,46.46,15.08265174,0.000851886,0.929,0.185133519,0.13167966,0.302283599,0.5,0.105263158,0.095238095
2004-12-31,australia,DM,5.33,5.25,1523.667528,798.05,52.05,15.33237272,0.302283599,-0.277,-0.049402533,-0.039472747,0.056045817,0,0,0
2005-06-30,australia,DM,5.107,5.5,1609.06272,853.75,57.77,14.77843171,0.056045817,-0.84,-0.141247688,-0.12034384,0.098611836,0.25,0.047619048,0.047619048
2005-12-31,australia,DM,5.2,,1767.735349,959.8,62.89,15.26156782,0.098611836,-0.13,-0.024390244,-0.019040644,0.097775753,,,
2006-06-30,australia,DM,5.78,5.75,1940.577003,1025.41,77.06,13.30664417,0.097775753,0.673,0.13177991,0.10082397,0.192042133,0.25,0.045454545,0.047619048
2006-12-31,australia,DM,5.882,,2313.249549,1135.25,75.24,15.08838384,0.192042133,0.682,0.131153846,0.105368868,0.204835686,,,
2007-06-30,australia,DM,6.256,,2787.085608,1254.34,81.11,15.4646776,0.204835686,0.476,0.082352941,0.075917065,0.065185156,,,
2007-12-31,australia,DM,6.326,6.75,2968.762217,1273.96,80.95,15.73761581,0.065185156,0.444,0.075484529,0.070498571,-0.081878713,,,
2008-06-30,australia,DM,6.447,7.25,2725.683788,1053.96,73.32,14.37479542,-0.081878713,0.191,0.030530691,0.030192855,-0.462745725,,,
2008-12-31,australia,DM,3.992,4.25,1464.385268,765.28,58.93,12.98625488,-0.462745725,-2.334,-0.368953525,-0.370593839,0.26320742,-2.5,-0.37037037,-0.476190476
