Date,Country,BondYield,Prices,Returns6M,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
1989-06-30,united states,8.077,,,,,,,,
1989-06-30,japan,5.46,,,,,,,,
1989-06-30,united kingdom,10.54,,,,,,,,
1989-06-30,canada,9.299,,,,,,,,
1989-06-30,australia,13.5,,,,,,,,
1989-06-30,germany,6.718,,,,,,,,
1989-06-30,new zealand,13.03,,,,,,,,
1989-12-31,united states,7.9350000000000005,,,,,,,,
1989-12-31,japan,5.74,,,,,,,,
1989-12-31,united kingdom,10.53,,,,,,,,
1989-12-31,canada,9.564,,,,,,,,
1989-12-31,australia,12.9,,,,,,,,
1989-12-31,germany,7.306,,,,,,,,
1989-12-31,new zealand,12.52,,,,,,,,
1990-06-30,united states,8.412,,,0.33500000000000085,0.041475795468614685,0.041843617287034826,3.0,3.0,3.0
1990-06-30,japan,6.65,,,1.1900000000000004,0.21794871794871806,0.21250000000000008,5.0,6.0,6.0
1990-06-30,united kingdom,11.33,,,0.7900000000000009,0.07495256166982922,0.07498813478879933,4.0,4.0,4.0
1990-06-30,canada,10.693,,,1.3940000000000001,0.14990859232175513,0.14780257647245934,6.0,5.0,5.0
1990-06-30,australia,13.45,,,-0.05000000000000071,-0.0037037037037037646,-0.0037878787878788418,2.0,2.0,2.0
1990-06-30,france,9.638,,,,,,,,
1990-06-30,germany,8.715,,,1.9969999999999999,0.29726108961000297,0.28479749001711346,7.0,7.0,7.0
1990-06-30,new zealand,12.12,,,-0.9100000000000001,-0.06983883346124331,-0.07123287671232878,1.0,1.0,1.0
1990-12-31,united states,8.067,,,0.13199999999999967,0.016635160680529282,0.016342701498080932,3.0,3.0,3.0
1990-12-31,japan,6.53,,,0.79,0.137630662020906,0.13763066202090593,6.0,6.0,6.0
1990-12-31,united kingdom,10.81,,,0.28000000000000114,0.026590693257360076,0.026565464895635785,4.0,4.0,4.0
1990-12-31,canada,10.281,,,0.7170000000000005,0.07496863237139273,0.07496863237139277,5.0,5.0,5.0
1990-12-31,australia,12.05,,,-0.8499999999999996,-0.06589147286821706,-0.06319702602230481,1.0,1.0,1.0
1990-12-31,france,9.994,,,,,,,,
1990-12-31,germany,8.992,,,1.6860000000000008,0.23076923076923084,0.2307692307692309,7.0,7.0,7.0
1990-12-31,sweden,12.27,,,,,,,,
1990-12-31,netherlands,9.182,,,,,,,,
1990-12-31,new zealand,12.26,,,-0.2599999999999998,-0.02076677316293929,-0.020766773162939282,2.0,2.0,2.0
1991-06-30,united states,8.227,,,-0.1850000000000005,-0.021992391821207824,-0.02291873141724486,7.0,7.0,7.0
1991-06-30,japan,6.86,,,0.20999999999999996,0.03157894736842115,0.034229828850855744,8.0,8.0,8.0
1991-06-30,united kingdom,10.5,,,-0.8300000000000001,-0.07325684024713153,-0.07775175644028103,3.0,3.0,3.0
1991-06-30,canada,10.085,,,-0.6079999999999988,-0.05685962779388376,-0.061274880322499246,4.0,4.0,4.0
1991-06-30,australia,11.155,,,-2.295,-0.17063197026022303,-0.17419354838709675,2.0,2.0,2.0
1991-06-30,france,9.108,,,-0.5299999999999994,-0.05499066196306279,-0.05399348003259978,5.0,5.0,5.0
1991-06-30,germany,8.492,,,-0.22299999999999898,-0.025588066551921806,-0.02783846201860046,6.0,6.0,6.0
1991-06-30,sweden,10.72,,,,,,,,
1991-06-30,netherlands,8.759,,,,,,,,
1991-06-30,ireland,9.531,,,,,,,,
1991-06-30,new zealand,9.74,,,-2.379999999999999,-0.19636963696369625,-0.1920903954802259,1.0,1.0,1.0
1991-12-31,united states,6.699,,,-1.3680000000000003,-0.16957976943101527,-0.16936981552556646,6.0,6.0,6.0
1991-12-31,japan,5.42,,,-1.1100000000000003,-0.1699846860643186,-0.16998468606431857,7.0,5.0,5.0
1991-12-31,united kingdom,9.76,,,-1.0500000000000007,-0.09713228492136916,-0.09962049335863385,8.0,9.0,9.0
1991-12-31,canada,8.1,,,-2.181000000000001,-0.21213889699445587,-0.21626177491323756,4.0,3.0,2.0
1991-12-31,australia,9.388,,,-2.662000000000001,-0.22091286307053948,-0.20635658914728688,2.0,2.0,3.0
1991-12-31,france,8.617,,,-1.376999999999999,-0.137782669601761,-0.14287196513799533,5.0,7.0,7.0
1991-12-31,germany,8.009,,,-0.9830000000000005,-0.10931939501779364,-0.11575600565237876,9.0,8.0,8.0
1991-12-31,sweden,9.928,,,-2.3419999999999987,-0.19087204563977167,-0.20374075685080456,3.0,4.0,4.0
1991-12-31,netherlands,8.600999999999999,,,-0.5810000000000013,-0.0632759747331737,-0.06476785017557564,10.0,10.0,10.0
1991-12-31,ireland,9.245,,,,,,,,
1991-12-31,new zealand,8.96,,,-3.299999999999999,-0.2691680261011419,-0.2691680261011418,1.0,1.0,1.0
1992-06-30,united states,7.121,,,-1.1059999999999999,-0.1344353956484745,-0.13701684836471753,7.0,5.0,4.0
1992-06-30,japan,5.52,,,-1.3400000000000007,-0.19533527696793018,-0.2184189079054606,3.0,2.0,1.0
1992-06-30,united kingdom,9.16,,,-1.3399999999999999,-0.12761904761904763,-0.12719506407214046,4.0,6.0,5.0
1992-06-30,canada,8.18,,,-1.9050000000000011,-0.1888943976202282,-0.19390299760802088,2.0,3.0,2.0
1992-06-30,australia,8.9,,,-2.254999999999999,-0.20215150156880313,-0.18076152304609208,1.0,1.0,3.0
1992-06-30,france,8.803,,,-0.3049999999999997,-0.03348704435660954,-0.03254027525872183,11.0,11.0,11.0
1992-06-30,germany,8.034,,,-0.4580000000000002,-0.053933113518605746,-0.055511787164414295,8.0,8.0,8.0
1992-06-30,sweden,9.588,,,-1.1320000000000014,-0.10559701492537321,-0.10559701492537327,6.0,7.0,7.0
1992-06-30,netherlands,8.319,,,-0.4399999999999995,-0.05023404498230388,-0.050234044982303855,9.0,9.0,9.0
1992-06-30,ireland,9.167,,,-0.36400000000000077,-0.038191165669919314,-0.038772901576480695,10.0,10.0,10.0
1992-06-30,new zealand,8.42,,,-1.3200000000000003,-0.13552361396303902,-0.10828547990155868,5.0,4.0,6.0
1992-12-31,united states,6.686,,,-0.0129999999999999,-0.0019405881474846565,-0.0016115036568736705,10.0,10.0,10.0
1992-12-31,japan,4.775,,,-0.6449999999999996,-0.11900369003690026,-0.112369337979094,5.0,4.0,3.0
1992-12-31,united kingdom,8.253,,,-1.5069999999999997,-0.15440573770491806,-0.14311490978157643,1.0,2.0,2.0
1992-12-31,canada,7.87,,,-0.22999999999999954,-0.02839506172839501,-0.024048515265579207,8.0,8.0,8.0
1992-12-31,australia,8.925,,,-0.4629999999999992,-0.04931827865360028,-0.03842323651452275,7.0,7.0,7.0
1992-12-31,france,8.111,,,-0.5060000000000002,-0.05872113264477197,-0.05555555555555558,6.0,6.0,6.0
1992-12-31,germany,7.198,,,-0.8109999999999999,-0.10126108128355604,-0.10094597958675627,4.0,5.0,5.0
1992-12-31,sweden,9.89,,,-0.038000000000000256,-0.0038275584206285407,-0.0036807438977140886,9.0,9.0,9.0
1992-12-31,netherlands,7.233,,,-1.3679999999999994,-0.1590512731077781,-0.15760368663594465,2.0,1.0,1.0
1992-12-31,ireland,10.193,,,0.9480000000000004,0.10254191454840456,0.1025419145484046,11.0,11.0,11.0
1992-12-31,new zealand,7.7,,,-1.2600000000000007,-0.1406250000000001,-0.10396039603960402,3.0,3.0,4.0
1993-06-30,united states,5.776,,,-1.3450000000000006,-0.18887796657772793,-0.16810398700162485,7.0,4.0,5.0
1993-06-30,japan,4.699,,,-0.8209999999999997,-0.148731884057971,-0.14582593250444045,11.0,8.0,7.0
1993-06-30,united kingdom,7.623,,,-1.537,-0.16779475982532754,-0.14617213504517354,4.0,7.0,6.0
1993-06-30,canada,7.349,,,-0.8309999999999995,-0.10158924205378972,-0.0881089964480729,10.0,11.0,11.0
1993-06-30,australia,7.39,,,-1.5100000000000007,-0.16966292134831462,-0.13014436543848315,5.0,6.0,8.0
1993-06-30,france,6.715,,,-2.088000000000001,-0.23719186640917878,-0.23315281112165717,1.0,1.0,1.0
1993-06-30,germany,6.617,,,-1.4170000000000007,-0.1763754045307444,-0.17665025244655,6.0,5.0,4.0
