Year,Code,Country,Date,Development,BondYield,CBPR,TotalPrices,Prices,TotalPrices__pctChange,Prices__pctChange,pctchg.TotalPrices_subtract_pctchg.Prices,Earnings,PE,ForwardEarnings,ForwardPE,BondYield_T_Difference,BondYield_T_PercentChange,BondYield_T_PercentChangeMedian,BondYield_T_PercentChangeStd,CBPR_T_Difference,CBPR_T_PercentChange,CBPR_T_PercentChangeMedian,CBPR_T_PercentChangeStd,Returns6M_Concurrent,Returns6M_Subsequent,GDP.Growth,CPI.Change,X,EP,EP.minus.Bond.Yield,Bond.Yield.minus.CPI.Change,EP.over.Bond.Yield,Unemployment,BondYield__.Change,CBPR__.Change,TotalPrices__.Change,Prices__.Change,Earnings__.Change,EP__.Change,BondYield_z.score.cross_sectional,CBPR_z.score.cross_sectional,PE_z.score.cross_sectional,EP_z.score.cross_sectional,EP.minus.Bond.Yield_z.score.cross_sectional,Bond.Yield.minus.CPI.Change_z.score.cross_sectional,EP.over.Bond.Yield_z.score.cross_sectional,BondYield_z.score.longitudinal,CBPR_z.score.longitudinal,PE_z.score.longitudinal,EP_z.score.longitudinal,EP.minus.Bond.Yield_z.score.longitudinal,BondYield_.percentchangefromedian_z.score.longitudinal,Prices__.Change_6.month.offset,BondYield_T_Difference_6.month.offset,CBPR_T_Difference_6.month.offset,BondYield_T_Difference__6month,BondYield__subtract_historical_median,CBPR__subtract_historical_median,PE__subtract_historical_median,EP__subtract_historical_median,EP.minus.Bond.Yield__subtract_historical_median,Bond.Yield.minus.CPI.Change__subtract_historical_median,BondYield_z.score.cross_sectional__subtract_historical_median,Bond.Yield.minus.CPI.Change_z.score.cross_sectional__subtract_historical_median,Bond.Yield.minus.CPI.Change_z.score.cross_sectional__subtract_historical_median__rollingsum_3year,BondYield_z.score.cross_sectional__subtract_historical_median__rollingsum_3year,Bond.Yield.minus.CPI.Change__subtract_historical_median__rollingsum_3year,EP.minus.Bond.Yield__subtract_historical_median__rollingsum_3year,EP__subtract_historical_median__rollingsum_3year,PE__subtract_historical_median__rollingsum_3year,CBPR__subtract_historical_median__rollingsum_3year,BondYield__subtract_historical_median__rollingsum_3year,CPI.Change__subtract_historical_median,GDP.Growth__subtract_historical_median,Unemployment__.Change,Unemployment__.Change__subtract_historical_median,ForwardEarnings_.Change,ForwardPE_.Change,ForwardEarnings__zscore_crosssectional,ForwardPE__zscore_crosssectional,ForwardPE__.changefromedian,ForwardPE__.changefromedian__z_score_longitudinal,ForwardEarnings__last_period_earnings_forecast_for_this_period,PE__difference,pctchg.TotalPrices_subtract_pctchg.Pricespctchg.TotalPrices_subtract_pctchg.Prices_.6month.offset,PE__differencePE__difference_.6.month.offset,Prices__.Change_.6.month.offset,EarningsEarnings_.6.month.offset,Earnings__.Change_,Earnings_.pctchange,CPI.Change_.ZXsect,CPI.Change_.zX,ForwardPE_.Change_.6monthforwardoffset,BondYield__pctchg-1year,BondYield__difference-1year
,AU,australia,06/30/1989,1,13.5,,,,,,,,,,,,,,,,,,,,,3.880819843,7.559425097,,,,5.940574903,,,,,,,,,2.622415034,,,,,1.073196729,,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,2.784302156,2.784302156,,,
,AU,australia,12/31/1989,1,12.9,,,,,,,,,,,-0.6,-0.044444444,-0.045454545,-0.219459696,,,,,,,3.880819843,7.559425097,,,,5.340574903,,,-0.044444444,,,,,,2.402955338,,,,,0.80453464,,-0.707106781,,,,,,,,,,-0.3,,,,,-0.3,-0.109729848,-0.134331045,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,2.784302156,2.784302156,,,
,AU,australia,06/30/1990,1,13.45,15.5,,,,,,,,,,0.55,0.042635659,0.040892193,0.201171388,,,,,,,3.530801438,7.272260054,,,,6.177739946,,,0.042635659,,,,,,2.604126726,4.122306133,,,,1.179392155,,0.500626174,,,,,0.707106781,,-0.6,,-0.6,0,0,,,,0.237165043,0,0.106195426,,,,,,,,,-0.287165043,-0.350018405,,,,,,,,,,,0,,,,,,2.614409859,2.614409859,,-0.003703704,-0.05
,AU,australia,12/31/1990,1,12.05,12,,,,,,,,,,-1.4,-0.104089219,-0.10626186,-0.512072625,-3.5,-0.23,-0.25,-1.408241226,,,3.530801438,7.272260054,,,,4.777739946,,,-0.104089219,-0.225806452,,,,,2.092054101,2.714064908,,,,0.552513947,,-1.372568743,-0.707106781,,,,-0.937453595,,0.55,,0.55,-1.125,-1.75,,,,-0.862834957,-0.411486931,-0.386351738,,,,,,,,,-0.143582522,-0.175009203,,,,,,,,,,,0,,,,,,2.614409859,2.614409859,,-0.065891473,-0.85
,AU,australia,06/30/1991,1,11.155,10.5,,,,,,,,,,-0.895,-0.074273859,-0.069379845,-0.327360714,-1.5,-0.13,-0.13,-0.603531954,,,-0.375332994,3.222679913,,,,7.932320087,,9.579000473,-0.074273859,-0.125,,,,,1.764693387,2.110532954,,,,1.965040765,,-1.45374481,-0.844440743,,,,-0.389156579,,-1.4,-3.5,-1.4,-1.745,-1.5,,,,1.991745184,-0.638261951,0.891844036,,,,,,,,,-4.049580141,-3.906134432,,,,,,,,,,,0,,,,,,0.218601282,0.218601282,,-0.17063197,-2.295
,AU,australia,12/31/1991,1,9.388,8.5,,,,,,,,,,-1.767,-0.158404303,-0.141643287,-0.646308806,-2,-0.19,-0.18,-0.804709272,,,-0.375332994,3.222679913,,,,6.165320087,,9.579000473,-0.158404303,-0.19047619,,,,,1.118384581,1.305823682,,,,1.173830913,,-1.687311548,-1.057702739,,,,-1.115667904,,-0.895,-1.5,-0.895,-3.087,-2.75,,,,0.112372592,-1.129120139,0.050317092,,,,,,,,,-4.049580141,-3.906134432,0,0,,,,,,,,,0,,,,,,0.218601282,0.218601282,,-0.220912863,-2.662
,AU,australia,06/30/1992,1,8.9,6.5,,,,,,,,,,-0.488,-0.051981253,-0.040497925,-0.178493886,-2,-0.24,-0.19,-0.804709272,,,0.436463912,0.985915493,,,,7.914084507,,10.72900009,-0.051981253,-0.235294118,,,,,0.939890694,0.50111441,,,,1.956875417,,-1.443750284,-1.193556145,,,,0.317211174,,-1.767,-2,-1.767,-3.15,-4,,,,1.74876442,-1.152163407,0.783044504,1.310718276,-3.440762276,2.927212282,,,,,-9.407,-6.286344561,-3.094337526,0.12005424,0.06002712,,,,,,,,,0,,,,,,-1.104711061,-1.104711061,,-0.202151502,-2.255
,AU,australia,12/31/1992,1,8.925,5.75,,,,,,,,,,0.025,0.002808989,0.002154708,0.009144154,-0.75,-0.12,-0.08,-0.301765977,,,0.436463912,0.985915493,,,,7.939084507,,10.72900009,0.002808989,-0.115384615,,,,,0.949034848,0.199348433,,,,1.968069671,,-1.186470971,-1.105733561,,,,0.86556627,,-0.488,-2,-0.488,-2.6775,-3.75,,,,1.767554491,-0.979338896,0.791458137,2.102176413,-4.420101172,4.694766773,,,,,-12.0845,-4.261554491,-1.547168763,0,0,,,,,,,,,0,,,,,,-1.104711061,-1.104711061,,-0.049318279,-0.463
,AU,australia,06/30/1993,1,7.39,5.25,,,,,,,,,,-1.535,-0.171988796,-0.137606455,-0.561451057,-0.5,-0.09,-0.06,-0.201177318,,,4.0619942,1.813110181,,,,5.576889819,,10.8739996,-0.171988796,-0.086956522,,,,,0.387583791,-0.001828885,,,,0.910349405,,-1.526250828,-1.037436757,,,,-1.160971752,,0.025,-0.75,0.025,-3.765,-3.25,,,,-0.588430268,-1.377109596,-0.263481508,1.97302595,-5.68748092,4.406336505,,,,-17,-15.5495,-1.409569732,0.531192762,0.013514727,0.006757364,,,,,,,,,0,,,,,,-0.615326962,-0.615326962,,-0.169662921,-1.51
,AU,australia,12/31/1993,1,6.675,4.75,,,,,,,,,,-0.715,-0.096752368,-0.069610086,-0.261522805,-0.5,-0.1,-0.07,-0.201177318,,,4.0619942,1.813110181,,,,4.861889819,,10.8739996,-0.096752368,-0.095238095,,,,,0.126060986,-0.203006203,,,,0.590193749,,-1.495636476,-1.010079262,,,,-0.107998934,,-1.535,-0.5,-1.535,-3.5965,-2.75,,,,-1.191057676,-1.315477998,-0.533320072,1.333510452,-7.002958918,2.978113786,,,,-19.75,-19.146,-1.409569732,0.531192762,0,0,,,,,,,,,0,,,,,,-0.615326962,-0.615326962,,-0.25210084,-2.25
