Date,Country,Development,BondYield,CBPR,TotalPrices,Prices,Earnings,PE
1989-06-30,united states,DM,8.077,9.63,,,,
1989-06-30,japan,DM,5.46,,,,,
1989-06-30,united kingdom,DM,10.54,14.0,,,,
1989-06-30,canada,DM,9.299,,,,,
1989-06-30,australia,DM,13.5,,,,,
1989-06-30,germany,DM,6.718,,,,,
1989-06-30,new zealand,DM,13.03,,,,,
1989-12-31,united states,DM,7.9350000000000005,8.25,,,,
1989-12-31,japan,DM,5.74,,,,,
1989-12-31,united kingdom,DM,10.53,15.0,,,,
1989-12-31,canada,DM,9.564,,,,,
1989-12-31,australia,DM,12.9,,,,,
1989-12-31,germany,DM,7.306,,,,,
1989-12-31,new zealand,DM,12.52,,,,,
1990-06-30,united states,DM,8.412,8.25,,,,
1990-06-30,japan,DM,6.65,,,,,
1990-06-30,united kingdom,DM,11.33,15.0,,,,
1990-06-30,canada,DM,10.693,,,,,
1990-06-30,australia,DM,13.45,15.5,,,,
1990-06-30,france,DM,9.638,,,,,
1990-06-30,germany,DM,8.715,,,,,
1990-06-30,new zealand,DM,12.12,,,,,
1990-12-31,united states,DM,8.067,7.0,,,,
1990-12-31,japan,DM,6.53,,,,,
1990-12-31,united kingdom,DM,10.81,14.0,,,,
1990-12-31,canada,DM,10.281,,,,,
1990-12-31,australia,DM,12.05,12.0,,,,
1990-12-31,france,DM,9.994,,,,,
1990-12-31,germany,DM,8.992,,,,,
1990-12-31,sweden,DM,12.27,,,,,
1990-12-31,netherlands,DM,9.182,,,,,
1990-12-31,new zealand,DM,12.26,,,,,
1991-06-30,united states,DM,8.227,5.75,,,,
1991-06-30,japan,DM,6.86,,,,,
1991-06-30,united kingdom,DM,10.5,11.5,,,,
1991-06-30,canada,DM,10.085,0.0,,,,
1991-06-30,australia,DM,11.155,10.5,,,,
1991-06-30,france,DM,9.108,,,,,
1991-06-30,germany,DM,8.492,,,,,
1991-06-30,sweden,DM,10.72,,,,,
1991-06-30,netherlands,DM,8.759,,,,,
1991-06-30,ireland,DM,9.531,,,,,
1991-06-30,new zealand,DM,9.74,,,,,
1991-12-31,united states,DM,6.699,4.0,,,,
1991-12-31,japan,DM,5.42,,,,,
1991-12-31,united kingdom,DM,9.76,10.5,,,,
1991-12-31,canada,DM,8.1,0.0,,,,
1991-12-31,australia,DM,9.388,8.5,,,,
1991-12-31,france,DM,8.617,,,,,
1991-12-31,germany,DM,8.009,,,,,
1991-12-31,sweden,DM,9.928,,,,,
1991-12-31,netherlands,DM,8.600999999999999,,,,,
1991-12-31,ireland,DM,9.245,,,,,
1991-12-31,new zealand,DM,8.96,,,,,
1992-06-30,united states,DM,7.121,3.75,,,,
1992-06-30,japan,DM,5.52,,,,,
1992-06-30,united kingdom,DM,9.16,10.0,,,,
1992-06-30,canada,DM,8.18,0.0,,,,
1992-06-30,australia,DM,8.9,6.5,,,,
1992-06-30,france,DM,8.803,,,,,
1992-06-30,germany,DM,8.034,,,,,
1992-06-30,sweden,DM,9.588,,,,,
1992-06-30,netherlands,DM,8.319,,,,,
