"","Earnings","TotalPrices_1_period_chg_subsequent_6perc_binary","Date","quints"
"12/29/1995.553",31.3,0,"12/29/1995",3
"12/29/1995.1748",2.32,0,"12/29/1995",5
"12/29/1995.1848",61.3,0,"12/29/1995",1
"12/29/1995.2648",1.4,0,"12/29/1995",5
"12/29/1995.2848",8.83,0,"12/29/1995",4
"12/29/1995.4848",33.54,0,"12/29/1995",2
"12/29/2000.163",5.7,0,"12/29/2000",4
"12/29/2000.263",34.11,0,"12/29/2000",2
"12/29/2000.363",6.18,0,"12/29/2000",4
"12/29/2000.563",52.66,0,"12/29/2000",2
"12/29/2000.663",49.19,0,"12/29/2000",2
"12/29/2000.1258",5,0,"12/29/2000",4
"12/29/2000.1558",5.47,0,"12/29/2000",4
"12/29/2000.1758",4.56,0,"12/29/2000",5
"12/29/2000.1858",73.24,0,"12/29/2000",1
"12/29/2000.2058",1000.11,0,"12/29/2000",1
"12/29/2000.2358",4.17,0,"12/29/2000",5
"12/29/2000.2558",10.32,0,"12/29/2000",3
"12/29/2000.2658",4.77,0,"12/29/2000",4
"12/29/2000.2858",14.8,0,"12/29/2000",3
"12/29/2000.2958",10.13,0,"12/29/2000",3
"12/29/2000.3458",8.06,0,"12/29/2000",3
"12/29/2000.3658",4.66,0,"12/29/2000",5
"12/29/2000.3858",-5.32,0,"12/29/2000",5
"12/29/2000.4058",73.89,1,"12/29/2000",1
"12/29/2000.4358",389.65,1,"12/29/2000",1
"12/29/2000.4458",65.3,0,"12/29/2000",1
"12/29/2000.4558",-7.9,0,"12/29/2000",5
"12/29/2000.4858",50.09,0,"12/29/2000",2
"12/29/2000.5058",20.16,0,"12/29/2000",2
"12/29/2006.175",20.31,0,"12/29/2006",4
"12/29/2006.275",75.24,0,"12/29/2006",2
"12/29/2006.375",10.21,0,"12/29/2006",5
"12/29/2006.575",92.67,0,"12/29/2006",2
"12/29/2006.675",61.36,0,"12/29/2006",3
"12/29/2006.775",64.13,0,"12/29/2006",3
"12/29/2006.875",2.59,0,"12/29/2006",5
"12/29/2006.1270",8.11,0,"12/29/2006",5
"12/29/2006.1570",11.49,0,"12/29/2006",4
"12/29/2006.1770",10.22,0,"12/29/2006",4
"12/29/2006.1870",101.86,0,"12/29/2006",2
"12/29/2006.2070",692.42,0,"12/29/2006",1
"12/29/2006.2270",133.38,0,"12/29/2006",1
"12/29/2006.2370",6.92,0,"12/29/2006",5
"12/29/2006.2570",24.15,0,"12/29/2006",4
"12/29/2006.2670",9.02,0,"12/29/2006",5
"12/29/2006.2870",52.41,0,"12/29/2006",3
