"","Date","Americas","Americas","Americas","Asia-Pacific","Asia-Pacific","Asia-Pacific","Europe","Australia","Austria","Belgium","Brazil","Canada","Chile","China","Colombia","Czech Republic","Denmark","EAFE","Egypt","Emerging","Finland","France","Germany","Greece","Hong Kong","Hungary","India","Indonesia","Ireland","Israel","Italy","Japan","Korea, Republic of","Malaysia","Mexico","Netherlands","New Zealand","Norway","Peru","Philippines","Poland","Portugal","Qatar","Russian Federation","Singapore","South Africa","Spain","Sweden","Switzerland","Taiwan, Province of China","Thailand","Turkey","United Arab Emirates","United Kingdom","United States","Developed"
"1",1969-12-31,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA,100,NA,NA,NA,NA,100,100,NA,NA,NA,100,100,NA,100,NA,NA,NA,NA,NA,100,100,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,100,NA,100,100,100,NA,NA,NA,NA,100,100,100
"2",1970-01-30,NA,NA,NA,NA,NA,NA,NA,96.87,100.01,101.05,NA,102.45,NA,NA,NA,NA,100.54,98.83,NA,NA,NA,103.81,95.17,NA,105.52,NA,NA,NA,NA,NA,104.1,98.42,NA,NA,NA,94.55,NA,103.97,NA,NA,NA,NA,NA,NA,98.94,NA,103.9,96.15,97.45,NA,NA,NA,NA,99.26,92.8,94.45
"3",1970-02-27,NA,NA,NA,NA,NA,NA,NA,95.75,98.84,101.24,NA,107,NA,NA,NA,NA,98.96,96.5,NA,NA,NA,100.91,92.38,NA,112.98,NA,NA,NA,NA,NA,101.27,99.62,NA,NA,NA,95.34,NA,102.18,NA,NA,NA,NA,NA,NA,100.5,NA,108.97,90.07,95.79,NA,NA,NA,NA,93.94,97.95,97.41
"4",1970-03-31,NA,NA,NA,NA,NA,NA,NA,95.42,98.28,101.91,NA,108.09,NA,NA,NA,NA,96.5,97.96,NA,NA,NA,99.73,93.19,NA,117.57,NA,NA,NA,NA,NA,104.85,103.67,NA,NA,NA,96.62,NA,107.19,NA,NA,NA,NA,NA,NA,97.93,NA,105.62,92.63,95.71,NA,NA,NA,NA,96.24,98.46,97.71
"5",1970-04-30,NA,NA,NA,NA,NA,NA,NA,84.74,100.84,100.87,NA,95.73,NA,NA,NA,NA,92.87,89.74,NA,NA,NA,93.78,88.89,NA,118.06,NA,NA,NA,NA,NA,104.55,91.12,NA,NA,NA,90.58,NA,104.38,NA,NA,NA,NA,NA,NA,91.79,NA,97.1,83.3,86.6,NA,NA,NA,NA,86.39,89.86,88.58
"6",1970-05-29,NA,NA,NA,NA,NA,NA,NA,79.25,100.97,97.05,NA,86.63,NA,NA,NA,NA,89.25,85.23,NA,NA,NA,91.22,80.55,NA,114.8,NA,NA,NA,NA,NA,94.65,88.7,NA,NA,NA,88.38,NA,100.33,NA,NA,NA,NA,NA,NA,91.49,NA,92.62,77.58,84.38,NA,NA,NA,NA,82.04,84.72,82.99
"7",1970-06-30,NA,NA,NA,NA,NA,NA,NA,89.49,103.58,98.03,NA,90.99,NA,NA,NA,NA,89.31,87.03,NA,NA,NA,89.02,77.57,NA,120.36,NA,NA,NA,NA,NA,90.18,90.32,NA,NA,NA,88.4,NA,105.44,NA,NA,NA,NA,NA,NA,92.15,NA,96.14,83.05,84.82,NA,NA,NA,NA,85.74,81.19,80.95
"8",1970-07-31,NA,NA,NA,NA,NA,NA,NA,92.34,104.82,103.89,NA,97.5,NA,NA,NA,NA,85.98,90.44,NA,NA,NA,94.1,82.3,NA,129.08,NA,NA,NA,NA,NA,92.67,90.51,NA,NA,NA,96.11,NA,112.93,NA,NA,NA,NA,NA,NA,93.07,NA,98.42,90.39,88.06,NA,NA,NA,NA,88.91,87.23,85.97
"9",1970-08-31,NA,NA,NA,NA,NA,NA,NA,91.62,109.33,103.64,NA,101.93,NA,NA,NA,NA,90.53,90.76,NA,NA,NA,93.62,83.26,NA,134.53,NA,NA,NA,NA,NA,92.69,89.54,NA,NA,NA,102.5,NA,124.33,NA,NA,NA,NA,NA,NA,92.14,NA,98.75,84.64,91.92,NA,NA,NA,NA,88.69,90.74,88.8
"10",1970-09-30,NA,NA,NA,NA,NA,NA,NA,91.75,111.36,104.57,NA,108.58,NA,NA,NA,NA,87.45,91.38,NA,NA,NA,90.92,81.9,NA,132.28,NA,NA,NA,NA,NA,90.41,88.5,NA,NA,NA,100.78,NA,127.86,NA,NA,NA,NA,NA,NA,92.96,NA,95.46,82.54,87.97,NA,NA,NA,NA,93.86,93.76,91.67
"11",1970-10-30,NA,NA,NA,NA,NA,NA,NA,83.33,109.99,106.1,NA,107.07,NA,NA,NA,NA,89.55,90.53,NA,NA,NA,92.18,80.67,NA,128.42,NA,NA,NA,NA,NA,86.36,89.65,NA,NA,NA,100.79,NA,130.55,NA,NA,NA,NA,NA,NA,93.8,NA,98.59,74.06,86.84,NA,NA,NA,NA,93.63,93.01,90.31
"12",1970-11-30,NA,NA,NA,NA,NA,NA,NA,79.25,110.72,104.68,NA,112.16,NA,NA,NA,NA,90.83,86.58,NA,NA,NA,91.34,77.75,NA,134.27,NA,NA,NA,NA,NA,84.64,87.07,NA,NA,NA,90.65,NA,129.69,NA,NA,NA,NA,NA,NA,92.73,NA,98.61,80.43,83.34,NA,NA,NA,NA,87.21,98.05,92.34
"13",1970-12-31,NA,NA,NA,NA,NA,NA,NA,80.23,110.84,106.91,NA,115.19,NA,NA,NA,NA,91.7,88.34,NA,NA,NA,93.06,75.41,NA,144.34,NA,NA,NA,NA,NA,81.59,87.77,NA,NA,NA,92.36,NA,133.28,NA,NA,NA,NA,NA,NA,95.63,NA,95.81,79.74,86.18,NA,NA,NA,NA,92.64,103.64,96.92
"14",1971-01-29,NA,NA,NA,NA,NA,NA,NA,78.42,109.37,116.08,NA,118.99,NA,NA,NA,NA,92.72,91.85,NA,NA,NA,97.69,86.23,NA,151.42,NA,NA,NA,NA,NA,82.63,92.57,NA,NA,NA,95.35,NA,143.2,NA,NA,NA,NA,NA,NA,101.81,NA,102.25,85.8,93.9,NA,NA,NA,NA,92.9,108.38,101.37
"15",1971-02-26,NA,NA,NA,NA,NA,NA,NA,76.95,110.47,119.34,NA,118.8,NA,NA,NA,NA,90.39,92.61,NA,NA,NA,96.99,89.9,NA,144.05,NA,NA,NA,NA,NA,85.02,96.83,NA,NA,NA,94.96,NA,143.54,NA,NA,NA,NA,NA,NA,100.81,NA,103.39,89.87,94.41,NA,NA,NA,NA,91.19,109.45,102.44
"16",1971-03-31,NA,NA,NA,NA,NA,NA,NA,81.19,109.18,117.05,NA,124.04,NA,NA,NA,NA,87.4,96.53,NA,NA,NA,95.04,90.74,NA,144.96,NA,NA,NA,NA,NA,82.07,104.82,NA,NA,NA,96.17,NA,129.41,NA,NA,NA,NA,NA,NA,103.08,NA,100.3,92.71,99.37,NA,NA,NA,NA,99.02,113.87,106.93
"17",1971-04-30,NA,NA,NA,NA,NA,NA,NA,78.23,111.13,120.69,NA,123.73,NA,NA,NA,NA,87.62,100.19,NA,NA,NA,94.92,85.2,NA,156.24,NA,NA,NA,NA,NA,79.36,110.25,NA,NA,NA,100.55,NA,136.27,NA,NA,NA,NA,NA,NA,105.57,NA,101.2,89.75,102.19,NA,NA,NA,NA,109.98,118.26,110.43
"18",1971-05-31,NA,NA,NA,NA,NA,NA,NA,76.04,116.9,122.25,NA,120.36,NA,NA,NA,NA,86.71,101.99,NA,NA,NA,99.98,89.24,NA,169.14,NA,NA,NA,NA,NA,74.12,109.47,NA,NA,NA,101.88,NA,154.43,NA,NA,NA,NA,NA,NA,115.99,NA,103.88,92.87,98.31,NA,NA,NA,NA,114.02,113.64,107.81
"19",1971-06-30,NA,NA,NA,NA,NA,NA,NA,76.74,115.63,123.56,NA,119.64,NA,NA,NA,NA,87.01,104.33,NA,NA,NA,97.97,89.42,NA,205.39,NA,NA,NA,NA,NA,73.94,119.94,NA,NA,NA,100.72,NA,175.44,NA,NA,NA,NA,NA,NA,120.07,NA,103.6,93.82,102.94,NA,NA,NA,NA,115.97,114.38,108.91
"20",1971-07-30,NA,NA,NA,NA,NA,NA,NA,73.67,116.59,128.43,NA,119.88,NA,NA,NA,NA,91.52,108.68,NA,NA,NA,100.66,94.06,NA,203.2,NA,NA,NA,NA,NA,71.19,120.52,NA,NA,NA,102.54,NA,170.5,NA,NA,NA,NA,NA,NA,126.21,NA,107.64,94.42,105.21,NA,NA,NA,NA,123.75,110.28,107.17
"21",1971-08-31,NA,NA,NA,NA,NA,NA,NA,71.16,115.67,127.12,NA,124.63,NA,NA,NA,NA,95.34,107.08,NA,NA,NA,97.77,92.28,NA,241.09,NA,NA,NA,NA,NA,69.4,112.55,NA,NA,NA,97.93,NA,176.42,NA,NA,NA,NA,NA,NA,130.17,NA,111.27,95.62,106.35,NA,NA,NA,NA,125.44,114.79,109.51
"22",1971-09-30,NA,NA,NA,NA,NA,NA,NA,64.13,117.69,123.32,NA,123.54,NA,NA,NA,NA,96.08,105.38,NA,NA,NA,89.39,91.26,NA,255.14,NA,NA,NA,NA,NA,66.65,116.28,NA,NA,NA,92.27,NA,164.62,NA,NA,NA,NA,NA,NA,141.46,NA,109.93,93.43,102.58,NA,NA,NA,NA,125.56,113.33,108.47
"23",1971-10-29,NA,NA,NA,NA,NA,NA,NA,64.42,117.93,120.29,NA,117.61,NA,NA,NA,NA,96,101.97,NA,NA,NA,83.51,84.36,NA,248.42,NA,NA,NA,NA,NA,67.95,111.71,NA,NA,NA,88.91,NA,147.51,NA,NA,NA,NA,NA,NA,145.99,NA,113.13,97.58,94.93,NA,NA,NA,NA,122.31,109.26,104.35
"24",1971-11-30,NA,NA,NA,NA,NA,NA,NA,63.44,116.88,124.28,NA,117.25,NA,NA,NA,NA,93.51,105.24,NA,NA,NA,89.12,86.61,NA,189.27,NA,NA,NA,NA,NA,66.38,119.49,NA,NA,NA,86.69,NA,143.53,NA,NA,NA,NA,NA,NA,151.26,NA,112.98,104.23,104.84,NA,NA,NA,NA,125.49,109.68,105.23
"25",1971-12-31,NA,NA,NA,NA,NA,NA,NA,78.19,119.53,130.49,NA,130.8,NA,NA,NA,NA,99,114.48,NA,NA,NA,92.58,93.02,NA,231.85,NA,NA,NA,NA,NA,71.17,134.85,NA,NA,NA,92.8,NA,157.07,NA,NA,NA,NA,NA,NA,155.85,NA,120.4,107.57,109.07,NA,NA,NA,NA,135.25,116.54,114.71
"26",1972-01-31,NA,NA,NA,NA,NA,NA,NA,75.76,121.02,138.82,NA,136.88,NA,NA,NA,NA,104.92,121.05,NA,NA,NA,98.76,99.78,NA,229.57,NA,NA,NA,NA,NA,73.83,145.39,NA,NA,NA,99.83,NA,153.49,NA,NA,NA,NA,NA,NA,166.38,NA,125.01,112,118.24,NA,NA,NA,NA,142.7,118.88,118.91
"27",1972-02-29,NA,NA,NA,NA,NA,NA,NA,83.52,125.03,146.07,NA,141.49,NA,NA,NA,NA,108.75,128.9,NA,NA,NA,105.46,108.15,NA,238,NA,NA,NA,NA,NA,69.05,158.65,NA,NA,NA,104.82,NA,151.98,NA,NA,NA,NA,NA,NA,177.9,NA,129.58,110.94,124.21,NA,NA,NA,NA,151.43,122.21,123.47
"28",1972-03-31,NA,NA,NA,NA,NA,NA,NA,86.29,124.77,153.38,NA,141.77,NA,NA,NA,NA,108.1,133.04,NA,NA,NA,118.13,113.74,NA,249.75,NA,NA,NA,NA,NA,70.29,167.16,NA,NA,NA,103.02,NA,157.73,NA,NA,NA,NA,NA,NA,212.9,NA,135.49,119.27,127.48,NA,NA,NA,NA,151.62,124.11,125.19
"29",1972-04-28,NA,NA,NA,NA,NA,NA,NA,84.63,126.03,152.43,NA,142.49,NA,NA,NA,NA,114.76,136.12,NA,NA,NA,121.32,110.77,NA,279.28,NA,NA,NA,NA,NA,74.08,175.58,NA,NA,NA,103.45,NA,156.07,NA,NA,NA,NA,NA,NA,217.46,NA,142.02,121.49,127.08,NA,NA,NA,NA,156.64,124.32,126.85
"30",1972-05-31,NA,NA,NA,NA,NA,NA,NA,88.3,135.33,154.94,NA,150.24,NA,NA,NA,NA,125.49,140.44,NA,NA,NA,128.31,114.05,NA,304.09,NA,NA,NA,NA,NA,76.52,190.69,NA,NA,NA,115.89,NA,154.55,NA,NA,NA,NA,NA,NA,214.44,NA,149.45,116.89,136.48,NA,NA,NA,NA,153.59,124.18,129.43
"31",1972-06-30,NA,NA,NA,NA,NA,NA,NA,90.69,136.21,156.68,NA,153.29,NA,NA,NA,NA,137.99,136.61,NA,NA,NA,123.33,112.26,NA,320.18,NA,NA,NA,NA,NA,77.01,198.29,NA,NA,NA,112.67,NA,174.25,NA,NA,NA,NA,NA,NA,223.13,NA,151.62,118.18,126.59,NA,NA,NA,NA,139.45,121.96,126.43
